Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"PTPN1","Protein Tyrosine Phosphatase Non-Receptor Type 1","Protein Coding","P18031","58","GC20P050510","8.86384391784668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN1"
"KRT18","Keratin 18","Protein Coding","P05783","58","GC12P052948","8.86118316650391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT18"
"TP53I3","Tumor Protein P53 Inducible Protein 3","Protein Coding","Q53FA7","47","GC02M024078","8.8610258102417","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53I3"
"MYOC","Myocilin","Protein Coding","Q99972","50","GC01M171604","8.8535327911377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOC"
"ADRB1","Adrenoceptor Beta 1","Protein Coding","P08588","57","GC10P114046","8.85173034667969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB1"
"DNM2","Dynamin 2","Protein Coding","P50570","58","GC19P010718","8.84986114501953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNM2"
"EIF4E","Eukaryotic Translation Initiation Factor 4E","Protein Coding","P06730","59","GC04M098879","8.84794807434082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4E"
"UBC","Ubiquitin C","Protein Coding","P0CG48","53","GC12M124911","8.84494972229004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBC"
"DGCR5","DiGeorge Syndrome Critical Region Gene 5","RNA Gene","","27","GC22P069901","8.84226322174072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGCR5"
"IGFBP1","Insulin Like Growth Factor Binding Protein 1","Protein Coding","P08833","52","GC07P049577","8.84117698669434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP1"
"TIMP2","TIMP Metallopeptidase Inhibitor 2","Protein Coding","P16035","50","GC17M078852","8.8172607421875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP2"
"CDH2","Cadherin 2","Protein Coding","P19022","60","GC18M034101","8.81633377075195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH2"
"SIGMAR1","Sigma Non-Opioid Intracellular Receptor 1","Protein Coding","Q99720","55","GC09M034634","8.81628704071045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIGMAR1"
"RBBP4","RB Binding Protein 4, Chromatin Remodeling Factor","Protein Coding","Q09028","53","GC01P032651","8.8082103729248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBBP4"
"BCL2L11","BCL2 Like 11","Protein Coding","O43521","53","GC02P111119","8.80696487426758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L11"
"CCL4","C-C Motif Chemokine Ligand 4","Protein Coding","P13236","50","GC17P036103","8.80176162719727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL4"
"ABCB7","ATP Binding Cassette Subfamily B Member 7","Protein Coding","O75027","53","GC0XM075053","8.79238319396973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB7"
"ABCG5","ATP Binding Cassette Subfamily G Member 5","Protein Coding","Q9H222","54","GC02M043806","8.79024124145508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG5"
"FECH","Ferrochelatase","Protein Coding","P22830","55","GC18M057544","8.78634548187256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FECH"
"FGF23","Fibroblast Growth Factor 23","Protein Coding","Q9GZV9","55","GC12M004368","8.78253555297852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF23"
"IL7","Interleukin 7","Protein Coding","P13232","52","GC08M078689","8.77735424041748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7"
"ZFAS1","ZNFX1 Antisense RNA 1","RNA Gene","","28","GC20P049276","8.77227115631104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFAS1"
"IDH2","Isocitrate Dehydrogenase (NADP(+)) 2","Protein Coding","P48735","60","GC15M090083","8.76893043518066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH2"
"TRAF6","TNF Receptor Associated Factor 6","Protein Coding","Q9Y4K3","55","GC11M036467","8.76411247253418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF6"
"HP","Haptoglobin","Protein Coding","P00738","54","GC16P083106","8.75370216369629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HP"
"IDO1","Indoleamine 2,3-Dioxygenase 1","Protein Coding","P14902","55","GC08P040225","8.75178146362305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDO1"
"MT-ND3","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 3","Protein Coding","P03897","41","GCMTP010061","8.75130271911621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND3"
"SERPINH1","Serpin Family H Member 1","Protein Coding","P50454","55","GC11P075562","8.74020385742188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINH1"
"STAG3","STAG3 Cohesin Complex Component","Protein Coding","Q9UJ98","52","GC07P100177","8.73681545257568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAG3"
"FLT4","Fms Related Receptor Tyrosine Kinase 4","Protein Coding","P35916","61","GC05M182574","8.73175811767578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT4"
"PRPF31","Pre-MRNA Processing Factor 31","Protein Coding","Q8WWY3","52","GC19P113671","8.731689453125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31"
"PHOX2B","Paired Like Homeobox 2B","Protein Coding","Q99453","53","GC04M041746","8.73058605194092","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHOX2B"
"MIR30A","MicroRNA 30a","RNA Gene","","26","GC06M071403","8.72929000854492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30A"
"NFYA","Nuclear Transcription Factor Y Subunit Alpha","Protein Coding","P23511","48","GC06P135015","8.72927284240723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFYA"
"NEB","Nebulin","Protein Coding","P20929","49","GC02M151485","8.72134971618652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEB"
"LPA","Lipoprotein(A)","Protein Coding","P08519","50","GC06M160531","8.72111892700195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPA"
"SLCO1B1","Solute Carrier Organic Anion Transporter Family Member 1B1","Protein Coding","Q9Y6L6","55","GC12P039359","8.70955657958984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO1B1"
"PDHA1","Pyruvate Dehydrogenase E1 Subunit Alpha 1","Protein Coding","P08559","56","GC0XP019343","8.70265769958496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDHA1"
"DAPK1","Death Associated Protein Kinase 1","Protein Coding","P53355","57","GC09P087497","8.70244312286377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAPK1"
"FLT1","Fms Related Receptor Tyrosine Kinase 1","Protein Coding","P17948","59","GC13M028300","8.70144367218018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1"
"LRPPRC","Leucine Rich Pentatricopeptide Repeat Containing","Protein Coding","P42704","51","GC02M043886","8.69911766052246","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRPPRC"
"PCK1","Phosphoenolpyruvate Carboxykinase 1","Protein Coding","P35558","56","GC20P057561","8.68871212005615","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCK1"
"TYK2","Tyrosine Kinase 2","Protein Coding","P29597","61","GC19M010350","8.68837070465088","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYK2"
"IGF2R","Insulin Like Growth Factor 2 Receptor","Protein Coding","P11717","56","GC06P159969","8.68477439880371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2R"
"TXNIP","Thioredoxin Interacting Protein","Protein Coding","Q9H3M7","47","GC01M145992","8.68162631988525","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNIP"
"MED1","Mediator Complex Subunit 1","Protein Coding","Q15648","50","GC17M039404","8.68008232116699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED1"
"SOS1","SOS Ras/Rac Guanine Nucleotide Exchange Factor 1","Protein Coding","Q07889","60","GC02M039266","8.67584991455078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOS1"
"GUCA1A","Guanylate Cyclase Activator 1A","Protein Coding","P43080","48","GC06P135025","8.6744327545166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUCA1A"
"MIR29C","MicroRNA 29c","RNA Gene","","25","GC01M207832","8.67289638519287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29C"
"NBR1","NBR1 Autophagy Cargo Receptor","Protein Coding","Q14596","48","GC17P043170","8.67046546936035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBR1"
"GABRA2","Gamma-Aminobutyric Acid Type A Receptor Subunit Alpha2","Protein Coding","P47869","56","GC04M046243","8.66700744628906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA2"
"HSD11B2","Hydroxysteroid 11-Beta Dehydrogenase 2","Protein Coding","P80365","54","GC16P082836","8.66700553894043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD11B2"
"SOX6","SRY-Box Transcription Factor 6","Protein Coding","P35712","52","GC11M015949","8.66629695892334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX6"
"FIG4","FIG4 Phosphoinositide 5-Phosphatase","Protein Coding","Q92562","53","GC06P135959","8.66508388519287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FIG4"
"CTBP1","C-Terminal Binding Protein 1","Protein Coding","Q13363","55","GC04M001211","8.6543550491333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTBP1"
"MAP3K5","Mitogen-Activated Protein Kinase Kinase Kinase 5","Protein Coding","Q99683","57","GC06M136557","8.6498966217041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K5"
"TWNK","Twinkle MtDNA Helicase","Protein Coding","Q96RR1","50","GC10P109747","8.64972591400146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TWNK"
"DNAH8","Dynein Axonemal Heavy Chain 8","Protein Coding","Q96JB1","47","GC06P135004","8.64285373687744","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH8"
"FADS1","Fatty Acid Desaturase 1","Protein Coding","O60427","51","GC11M061799","8.64253044128418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADS1"
"COX4I1","Cytochrome C Oxidase Subunit 4I1","Protein Coding","P13073","53","GC16P085798","8.64103889465332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX4I1"
"BPGM","Bisphosphoglycerate Mutase","Protein Coding","P07738","53","GC07P134646","8.63743209838867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BPGM"
"GHRL","Ghrelin And Obestatin Prepropeptide","Protein Coding","Q9UBU3","50","GC03M010285","8.63014698028564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRL"
"MGP","Matrix Gla Protein","Protein Coding","P08493","52","GC12M029578","8.6283540725708","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGP"
"MIR222","MicroRNA 222","RNA Gene","","27","GC0XM045747","8.62307548522949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR222"
"EIF2AK3","Eukaryotic Translation Initiation Factor 2 Alpha Kinase 3","Protein Coding","Q9NZJ5","58","GC02M088556","8.62286853790283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK3"
"CCNE1","Cyclin E1","Protein Coding","P24864","57","GC19P029811","8.6118335723877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNE1"
"SHBG","Sex Hormone Binding Globulin","Protein Coding","P04278","51","GC17P007613","8.61151313781738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG"
"GLB1","Galactosidase Beta 1","Protein Coding","P16278","57","GC03M032963","8.60664939880371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLB1"
"SPTLC1","Serine Palmitoyltransferase Long Chain Base Subunit 1","Protein Coding","O15269","54","GC09M109404","8.60216617584229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTLC1"
"PDCD1","Programmed Cell Death 1","Protein Coding","Q15116","56","GC02M241849","8.60213565826416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD1"
"PRDX5","Peroxiredoxin 5","Protein Coding","P30044","53","GC11P088959","8.5991382598877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX5"
"AMACR","Alpha-Methylacyl-CoA Racemase","Protein Coding","Q9UHK6","54","GC05M033986","8.59870910644531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMACR"
"AHI1","Abelson Helper Integration Site 1","Protein Coding","Q8N157","50","GC06M135283","8.59415626525879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHI1"
"CYLD","CYLD Lysine 63 Deubiquitinase","Protein Coding","Q9NQC7","56","GC16P050742","8.59321212768555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYLD"
"CASP7","Caspase 7","Protein Coding","P55210","58","GC10P113679","8.57722663879395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP7"
"IL15","Interleukin 15","Protein Coding","P40933","52","GC04P141636","8.57613372802734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL15"
"MIR182","MicroRNA 182","RNA Gene","","28","GC07M129770","8.57223033905029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR182"
"CACNA1F","Calcium Voltage-Gated Channel Subunit Alpha1 F","Protein Coding","O60840","53","GC0XM049205","8.57161521911621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1F"
"AFP","Alpha Fetoprotein","Protein Coding","P02771","56","GC04P073431","8.57145500183105","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFP"
"MIR335","MicroRNA 335","RNA Gene","","27","GC07P130496","8.56821918487549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR335"
"IGF2-AS","IGF2 Antisense RNA","RNA Gene","Q6U949","34","GC11P002140","8.5662784576416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2-AS"
"SLC3A1","Solute Carrier Family 3 Member 1","Protein Coding","Q07837","56","GC02P044275","8.56319999694824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC3A1"
"IRS2","Insulin Receptor Substrate 2","Protein Coding","Q9Y4H2","54","GC13M109752","8.55809020996094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS2"
"FOXP1","Forkhead Box P1","Protein Coding","Q9H334","53","GC03M070954","8.54933834075928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP1"
"CPT2","Carnitine Palmitoyltransferase 2","Protein Coding","P23786","59","GC01P053196","8.54591178894043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPT2"
"PLA2G7","Phospholipase A2 Group VII","Protein Coding","Q13093","59","GC06M046704","8.54517936706543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G7"
"LIG4","DNA Ligase 4","Protein Coding","P49917","56","GC13M108207","8.54294776916504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIG4"
"HCCAT5","Hepatocellular Carcinoma Associated Transcript 5","RNA Gene","","23","GC16P073092","8.54104900360107","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCCAT5"
"CAPN10","Calpain 10","Protein Coding","Q9HC96","49","GC02P240586","8.53962326049805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN10"
"MIRLET7B","MicroRNA Let-7b","RNA Gene","","27","GC22P070828","8.53026962280273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7B"
"CBL","Cbl Proto-Oncogene","Protein Coding","P22681","59","GC11P119206","8.52834320068359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBL"
"PANK2","Pantothenate Kinase 2","Protein Coding","Q9BZ23","54","GC20P008172","8.52367305755615","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANK2"
"HULC","Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA","RNA Gene","","28","GC06P008478","8.52338027954102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HULC"
"BHLHE40","Basic Helix-Loop-Helix Family Member E40","Protein Coding","O14503","47","GC03P005000","8.51893615722656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BHLHE40"
"MIR211","MicroRNA 211","RNA Gene","","29","GC15M031065","8.51664352416992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR211"
"MAFB","MAF BZIP Transcription Factor B","Protein Coding","Q9Y5Q3","52","GC20M040685","8.50697803497314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAFB"
"PLCG1","Phospholipase C Gamma 1","Protein Coding","P19174","56","GC20P041136","8.50216007232666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCG1"
"FOSL1","FOS Like 1, AP-1 Transcription Factor Subunit","Protein Coding","P15407","54","GC11M125414","8.49697685241699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOSL1"
"GSN","Gelsolin","Protein Coding","P06396","58","GC09P121201","8.49693584442139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSN"
"MIR22","MicroRNA 22","RNA Gene","","29","GC17M001713","8.49225997924805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22"
"ABCG8","ATP Binding Cassette Subfamily G Member 8","Protein Coding","Q9H221","50","GC02P043828","8.49213981628418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG8"
"APOC2","Apolipoprotein C2","Protein Coding","P02655","52","GC19P113254","8.4889669418335","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOC2"
"ACOX1","Acyl-CoA Oxidase 1","Protein Coding","Q15067","54","GC17M075941","8.48769950866699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOX1"
"UGT1A7","UDP Glucuronosyltransferase Family 1 Member A7","Protein Coding","Q9HAW7","48","GC02P233681","8.48126792907715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A7"
"CD82","CD82 Molecule","Protein Coding","P27701","53","GC11P044564","8.48056125640869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD82"
"WNT4","Wnt Family Member 4","Protein Coding","P56705","55","GC01M022190","8.47427654266357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT4"
"CCNH","Cyclin H","Protein Coding","P51946","54","GC05M087311","8.4730863571167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNH"
"CARM1","Coactivator Associated Arginine Methyltransferase 1","Protein Coding","Q86X55","52","GC19P010871","8.47308540344238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARM1"
"OLR1","Oxidized Low Density Lipoprotein Receptor 1","Protein Coding","P78380","51","GC12M029495","8.47261619567871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OLR1"
"TNFRSF10A","TNF Receptor Superfamily Member 10a","Protein Coding","O00220","54","GC08M023190","8.47030544281006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF10A"
"MYBL2","MYB Proto-Oncogene Like 2","Protein Coding","P10244","50","GC20P043667","8.467698097229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBL2"
"DMPK","DM1 Protein Kinase","Protein Coding","Q09013","56","GC19M045769","8.46486377716064","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMPK"
"CSNK2A1","Casein Kinase 2 Alpha 1","Protein Coding","P68400","59","GC20M000472","8.464524269104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2A1"
"RAB27A","RAB27A, Member RAS Oncogene Family","Protein Coding","P51159","55","GC15M055202","8.45908355712891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB27A"
"SNHG12","Small Nucleolar RNA Host Gene 12","RNA Gene","Q9BXW3","30","GC01M031297","8.44437217712402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG12"
"MSTN","Myostatin","Protein Coding","O14793","55","GC02M190055","8.43596076965332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSTN"
"OTX2","Orthodenticle Homeobox 2","Protein Coding","P32243","55","GC14M056799","8.42546463012695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTX2"
"RHD","Rh Blood Group D Antigen","Protein Coding","Q02161","50","GC01P025272","8.42503452301025","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHD"
"HOXA1","Homeobox A1","Protein Coding","P49639","50","GC07M027092","8.42428874969482","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA1"
"STAR","Steroidogenic Acute Regulatory Protein","Protein Coding","P49675","53","GC08M038250","8.41720962524414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAR"
"MIR373","MicroRNA 373","RNA Gene","","27","GC19P113661","8.41209506988525","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR373"
"SNHG16","Small Nucleolar RNA Host Gene 16","RNA Gene","","26","GC17P113183","8.41091823577881","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG16"
"CASP2","Caspase 2","Protein Coding","P42575","55","GC07P157914","8.40762710571289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP2"
"DUSP1","Dual Specificity Phosphatase 1","Protein Coding","P28562","54","GC05M172768","8.4002046585083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP1"
"CCL3","C-C Motif Chemokine Ligand 3","Protein Coding","P10147","50","GC17M036088","8.39813709259033","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3"
"MT-ND2","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 2","Protein Coding","P03891","42","GCMTP004472","8.3968620300293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND2"
"MIR451A","MicroRNA 451a","RNA Gene","","25","GC17M028861","8.39320087432861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR451A"
"EMD","Emerin","Protein Coding","P50402","54","GC0XP154379","8.39096832275391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMD"
"OGT","O-Linked N-Acetylglucosamine (GlcNAc) Transferase","Protein Coding","O15294","55","GC0XP071735","8.39089775085449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGT"
"HNRNPA1","Heterogeneous Nuclear Ribonucleoprotein A1","Protein Coding","P09651","56","GC12P054280","8.39013767242432","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA1"
"CASC2","Cancer Susceptibility 2","RNA Gene","Q8IU53","32","GC10P118053","8.38862609863281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC2"
"PRMT5","Protein Arginine Methyltransferase 5","Protein Coding","O14744","53","GC14M022920","8.38256359100342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT5"
"IFI27","Interferon Alpha Inducible Protein 27","Protein Coding","P40305","47","GC14P094104","8.37718391418457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFI27"
"DDX3X","DEAD-Box Helicase 3 X-Linked","Protein Coding","O00571","56","GC0XP041333","8.37534332275391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX3X"
"ANG","Angiogenin","Protein Coding","P03950","53","GC14P045735","8.3707447052002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANG"
"TUBB3","Tubulin Beta 3 Class III","Protein Coding","Q13509","59","GC16P095438","8.36242485046387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB3"
"ESRRA","Estrogen Related Receptor Alpha","Protein Coding","P11474","54","GC11P064305","8.35545063018799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRRA"
"WT1-AS","WT1 Antisense RNA","RNA Gene","Q06250","34","GC11P032434","8.35276794433594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WT1-AS"
"APOA2","Apolipoprotein A2","Protein Coding","P02652","53","GC01M161222","8.35079669952393","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA2"
"LIPA","Lipase A, Lysosomal Acid Type","Protein Coding","P38571","56","GC10M089213","8.34963703155518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPA"
"MBD2","Methyl-CpG Binding Domain Protein 2","Protein Coding","Q9UBB5","49","GC18M054151","8.33335781097412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBD2"
"NR4A3","Nuclear Receptor Subfamily 4 Group A Member 3","Protein Coding","Q92570","49","GC09P099821","8.33086490631104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR4A3"
"DNM1L","Dynamin 1 Like","Protein Coding","O00429","57","GC12P032679","8.32781028747559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNM1L"
"S100A4","S100 Calcium Binding Protein A4","Protein Coding","P26447","53","GC01M153543","8.32298564910889","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A4"
"XRCC4","X-Ray Repair Cross Complementing 4","Protein Coding","Q13426","51","GC05P083077","8.31502056121826","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC4"
"F3","Coagulation Factor III, Tissue Factor","Protein Coding","P13726","54","GC01M094873","8.31488704681396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3"
"MLXIPL","MLX Interacting Protein Like","Protein Coding","Q9NP71","52","GC07M073593","8.3139533996582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLXIPL"
"FANCI","FA Complementation Group I","Protein Coding","Q9NVI1","52","GC15P089243","8.30322170257568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCI"
"SKP2","S-Phase Kinase Associated Protein 2","Protein Coding","Q13309","54","GC05P036151","8.30106925964355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKP2"
"HK1","Hexokinase 1","Protein Coding","P19367","59","GC10P069269","8.29947280883789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HK1"
"PTPN6","Protein Tyrosine Phosphatase Non-Receptor Type 6","Protein Coding","P29350","58","GC12P038993","8.29904842376709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN6"
"SLC6A2","Solute Carrier Family 6 Member 2","Protein Coding","P23975","55","GC16P082398","8.29728984832764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A2"
"LBR","Lamin B Receptor","Protein Coding","Q14739","55","GC01M225401","8.29473209381104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LBR"
"SMAD6","SMAD Family Member 6","Protein Coding","O43541","55","GC15P066702","8.29459476470947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD6"
"FLI1","Fli-1 Proto-Oncogene, ETS Transcription Factor","Protein Coding","Q01543","55","GC11P128686","8.28921127319336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLI1"
"FLNB","Filamin B","Protein Coding","O75369","55","GC03P058008","8.28830242156982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNB"
"CDC42","Cell Division Cycle 42","Protein Coding","P60953","59","GC01P022052","8.28779125213623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42"
"KRT10","Keratin 10","Protein Coding","P13645","52","GC17M040818","8.28474712371826","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT10"
"MYOCD","Myocardin","Protein Coding","Q8IZQ8","53","GC17P012665","8.28230285644531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOCD"
"ADM","Adrenomedullin","Protein Coding","P35318","54","GC11P011175","8.27530384063721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADM"
"FSHB","Follicle Stimulating Hormone Subunit Beta","Protein Coding","P01225","53","GC11P030210","8.27514266967773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSHB"
"NPC2","NPC Intracellular Cholesterol Transporter 2","Protein Coding","P61916","52","GC14M074476","8.2738733291626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC2"
